Age,District1Total,District1TotalSurveyed,District1Attending,District1NotAttending,District1Column,District2Total,District2TotalSurveyed,District2Attending,District2NotAttending,District2Column,District3Total,District3TotalSurveyed,District3Attending,District3NotAttending,District3Column,District4Total,District4TotalSurveyed,District4Attending,District4NotAttending,District4Column,District5Total,District5TotalSurveyed,District5Attending,District5NotAttending,District5Column,District6Total,District6TotalSurveyed,District6Attending,District6NotAttending,District6Column,District7Total,District7TotalSurveyed,District7Attending,District7NotAttending,District7Column,District8Total,District8TotalSurveyed,District8Attending,District8NotAttending,District8Column,District9Total,District9TotalSurveyed,District9Attending,District9NotAttending,District9Column,District10Total,District10TotalSurveyed,District10Attending,District10NotAttending,District10Column,District11Total,District11TotalSurveyed,District11Attending,District11NotAttending,District11Column,District12Total,District12TotalSurveyed,District12Attending,District12NotAttending,District12Column,District13Total,District13TotalSurveyed,District13Attending,District13NotAttending,District13Column,District14Total,District14TotalSurveyed,District1Attending,District14NotAttending,District14Column,District15Total,District15TotalSurveyed,District15Attending,District15NotAttending,District15Column,District16Total,District16TotalSurveyed,District16Attending,District16NotAttending,District16Column,District17Total,District17TotalSurveyed,District17Attending,District17NotAttending,District17Column,District18Total,District18TotalSurveyed,District18Attending,District18NotAttending,District18Column,District19Total,District19TotalSurveyed,District19Attending,District19NotAttending,District19Column,District20Total,District20TotalSurveyed,District20Attending,District20NotAttending,District20Column,District21Total,District21TotalSurveyed,District21Attending,District21NotAttending,District21Column,District22Total,District22TotalSurveyed,District22Attending,District22NotAttending,District22Column,District23Total,District23TotalSurveyed,District23Attending,District23NotAttending,District23Column,District24Total,District24TotalSurveyed,District24Attending,District24NotAttending,District24Column,District25Total,District25TotalSurveyed,District25Attending,District25NotAttending,District25Column,District26Total,District26TotalSurveyed,District26Attending,District26NotAttending,District26Column,District27Total,District27TotalSurveyed,District27Attending,District27NotAttending,District27Column,District28Total,District28TotalSurveyed,District28Attending,District28NotAttending,District28Column,District29Total,District29TotalSurveyed,District29Attending,District29NotAttending,District29Column,District30Total,District30TotalSurveyed,District30Attending,District30NotAttending,District30Column,District31Total,District31TotalSurveyed,District31Attending,District31NotAttending,District31Column,District32Total,District32TotalSurveyed,District32Attending,District32NotAttending,District32Column,District33Total,District33TotalSurveyed,District33Attending,District33NotAttending,District33Column,District34Total,District34TotalSurveyed,District34Attending,District34NotAttending,District34Column,District35Total,District35TotalSurveyed,District35Attending,District35NotAttending,District35Column,District36Total,District36TotalSurveyed,District36Attending,District36NotAttending,District36Column,District37Total,District37TotalSurveyed,District37Attending,District37NotAttending,District37Column,District38Total,District38TotalSurveyed,District38Attending,District38NotAttending,District38Column,District39Total,District39TotalSurveyed,District39Attending,District39NotAttending,District39Column,District40Total,District40TotalSurveyed,District40Attending,District40NotAttending,District40Column,District41Total,District41TotalSurveyed,District41Attending,District41NotAttending,District41Column,District42Total,District42TotalSurveyed,District42Attending,District42NotAttending,District42Column,District43Total,District43TotalSurveyed,District43Attending,District43NotAttending,District43Column,District44Total,District44TotalSurveyed,District44Attending,District44NotAttending,District44Column,District45Total,District45TotalSurveyed,District45Attending,District45NotAttending,District45Column,District46Total,District46TotalSurveyed,District46Attending,District46NotAttending,District46Column,District47Total,District47TotalSurveyed,District47Attending,District47NotAttending,District47Column,District48Total,District48TotalSurveyed,District48Attending,District48NotAttending,District48Column,District49Total,District49TotalSurveyed,District49Attending,District49NotAttending,District49Column,District50Total,District50TotalSurveyed,District50Attending,District50NotAttending,District50Column,District51Total,District51TotalSurveyed,District51Attending,District51NotAttending,District51Column,District52Total,District52TotalSurveyed,District52Attending,District52NotAttending,District52Column,District53Total,District53TotalSurveyed,District53Attending,District53NotAttending,District53Column,District54Total,District54TotalSurveyed,District54Attending,District54NotAttending,District54Column,District55Total,District55TotalSurveyed,District55Attending,District55NotAttending,District55Column,District56Total,District56TotalSurveyed,District56Attending,District56NotAttending,District56Column,District57Total,District57TotalSurveyed,District57Attending,District57NotAttending,District57Column,District58Total,District58TotalSurveyed,District58Attending,District58NotAttending,District58Column,District59Total,District59TotalSurveyed,District59Attending,District59NotAttending,District59Column,District60Total,District60TotalSurveyed,District60Attending,District60NotAttending,District60Column,District61Total,District61TotalSurveyed,District61Attending,District61NotAttending,District61Column,District62Total,District62TotalSurveyed,District62Attending,District62NotAttending,District62Column,District63Total,District63TotalSurveyed,District63Attending,District63NotAttending,District63Column,District64Total,District64TotalSurveyed,District64Attending,District64NotAttending,District64Column,District65Total,District65TotalSurveyed,District65Attending,District65NotAttending,District65Column,District66Total,District66TotalSurveyed,District66Attending,District66NotAttending,District66Column,District67Total,District67TotalSurveyed,District67Attending,District67NotAttending,District67Column,District68Total,District68TotalSurveyed,District68Attending,District68NotAttending,District68Column,District69Total,District69TotalSurveyed,District69Attending,District69NotAttending,District69Column,District70Total,District70TotalSurveyed,District70Attending,District70NotAttending,District70Column,District71Total,District71TotalSurveyed,District71Attending,District71NotAttending,District71Column,District72Total,District72TotalSurveyed,District72Attending,District72NotAttending,District72Column,District73Total,District73TotalSurveyed,District73Attending,District73NotAttending,District73Column,District74Total,District74TotalSurveyed,District74Attending,District74NotAttending,District74Column,District75Total,District75TotalSurveyed,District75Attending,District75NotAttending,District75Column,District76Total,District76TotalSurveyed,District76Attending,District76NotAttending,District76Column,District77Total,District77TotalSurveyed,District77Attending,District77NotAttending,District77Column,District78Total,District78TotalSurveyed,District78Attending,District78NotAttending,District78Column,District79Total,District79TotalSurveyed,District79Attending,District79NotAttending,District79Column,District80Total,District80TotalSurveyed,District80Attending,District80NotAttending,District80Column,District81Total,District81TotalSurveyed,District81Attending,District81NotAttending,District81Column,District82Total,District82TotalSurveyed,District82Attending,District82NotAttending,District82Column,District83Total,District83TotalSurveyed,District83Attending,District83NotAttending,District83Column,District84Total,District84TotalSurveyed,District84Attending,District84NotAttending,District84Column,District85Total,District85TotalSurveyed,District85Attending,District85NotAttending,District85Column,District86Total,District86TotalSurveyed,District86Attending,District86NotAttending,District86Column,District87Total,District87TotalSurveyed,District87Attending,District87NotAttending,District87Column,District88Total,District88TotalSurveyed,District88Attending,District88NotAttending,District88Column,District89Total,District89TotalSurveyed,District89Attending,District89NotAttending,District89Column,District90Total,District90TotalSurveyed,District90Attending,District90NotAttending,District90Column,District91Total,District91TotalSurveyed,District91Attending,District91NotAttending,District91Column,District92Total,District92TotalSurveyed,District92Attending,District92NotAttending,District92Column,District93Total,District93TotalSurveyed,District93Attending,District93NotAttending,District93Column,District94Total,District94TotalSurveyed,District94Attending,District94NotAttending,District94Column,District95Total,District95TotalSurveyed,District95Attending,District95NotAttending,District95Column,District96Total,District96TotalSurveyed,District96Attending,District96NotAttending,District96Column,District97Total,District97TotalSurveyed,District97Attending,District97NotAttending,District97Column,District98Total,District98TotalSurveyed,District98Attending,District98NotAttending,District98Column,District99Total,District99TotalSurveyed,District99Attending,District99NotAttending,District99Column,District100Total,District100TotalSurveyed,District100Attending,District100NotAttending,District100Column,District101Total,District101TotalSurveyed,District101Attending,District101NotAttending,District101Column,District102Total,District102TotalSurveyed,District102Attending,District102NotAttending,District102Column,District103Total,District103TotalSurveyed,District103Attending,District103NotAttending,District103Column,District104Total,District104TotalSurveyed,District104Attending,District104NotAttending,District104Column,District105Total,District105TotalSurveyed,District105Attending,District105NotAttending,District105Column,District106Total,District106TotalSurveyed,District106Attending,District106NotAttending,District106Column,District107Total,District107TotalSurveyed,District107Attending,District107NotAttending,District107Column
M2,1198,858,275,583,340,1011,963,180,783,48,1369,1156,372,784,213,1119,1062,213,849,57,1198,1003,308,695,195,1443,1330,337,993,113,1202,1048,235,813,154,925,806,194,612,119,558,513,112,401,45,996,934,254,680,62,2071,1808,458,1350,263,1816,1588,305,1283,228,1707,1611,302,1309,96,717,671,174,497,46,1796,1654,330,1324,142,1519,1387,272,1115,132,868,784,166,618,84,1519,1463,223,1240,56,985,873,192,681,112,1024,942,188,754,82,846,805,143,662,41,1353,1327,261,1066,26,1071,980,246,734,91,1033,718,219,499,315,1137,1113,217,896,24,1528,1404,288,1116,124,589,548,139,409,41,629,589,141,448,40,961,870,185,685,91,1124,1079,231,848,45,834,762,174,588,72,779,762,180,582,17,1031,988,170,818,43,2035,1834,523,1311,201,999,932,181,751,67,1112,775,227,548,337,951,890,219,671,61,349,277,89,188,72,717,705,85,620,12,590,553,99,454,37,2124,1807,464,1343,317,529,492,110,382,37,751,715,160,555,36,1489,1324,312,1012,165,1062,960,255,705,102,1151,1080,295,785,71,666,611,133,478,55,2280,2225,432,1793,55,2162,2025,453,1572,137,2442,2395,348,2047,47,1381,1366,157,1209,15,1315,1257,275,982,58,1253,1229,267,962,24,347,333,47,286,14,2422,2257,517,1740,165,409,403,114,289,6,1764,1562,437,1125,202,1155,973,241,732,182,2445,2319,549,1770,126,4425,4242,998,3244,183,548,520,69,451,28,1077,976,300,676,101,1047,1001,161,840,46,1434,1246,266,980,188,1000,820,233,587,180,1258,1019,209,810,239,890,793,155,638,97,1441,1370,264,1106,71,1805,1721,300,1421,84,840,799,128,671,41,907,800,206,594,107,920,861,147,714,59,1432,1366,269,1097,66,1140,1042,167,875,98,2320,2210,469,1741,110,1977,1932,499,1433,45,1108,1053,362,691,55,1368,1203,410,793,165,1344,1291,293,998,53,700,662,131,531,38,1962,1795,799,996,167,866,786,197,589,80,1173,1135,374,761,38,1381,1281,348,933,100,1031,1015,230,785,16,1037,930,384,546,107,1274,1197,382,815,77,1295,1255,361,894,40,1008,900,295,605,108,1243,1197,275,922,46,1721,1624,531,1093,97,301,294,51,243,7,1281,1162,267,895,119,503,476,103,373,27,1401,1292,294,998,109,1794,1437,400,1037,357,719,648,175,473,71,400,366,75,291,34,467,449,107,342,18,509,480,111,369,29,713,668,135,533,45,1619,1560,301,1259,59,809,773,101,672,36,556,462,92,370,94,1492,1473,290,1183,19,791,780,154,626,11,1141,1125,217,908,16
M5,1071,797,672,125,274,1174,1151,862,289,23,1324,1261,1060,201,63,1132,1106,904,202,26,1387,1267,1077,190,120,1320,1271,1081,190,49,1257,1143,917,226,114,1016,959,728,231,57,601,565,427,138,36,1018,969,833,136,49,2070,1882,1597,285,188,2161,2005,1688,317,156,1582,1520,1197,323,62,704,677,570,107,27,1949,1854,1521,333,95,1542,1422,1158,264,120,867,827,645,182,40,1593,1557,1223,334,36,961,901,721,180,60,924,814,691,123,110,784,764,604,160,20,1328,1305,1123,182,23,1020,988,802,186,32,948,667,593,74,281,1241,1234,1020,214,7,1465,1409,1166,243,56,624,601,492,109,23,712,682,547,135,30,1234,1137,912,225,97,1102,1090,864,226,12,841,794,626,168,47,805,800,680,120,5,903,876,704,172,27,2118,2024,1680,344,94,1042,1019,837,182,23,998,704,612,92,294,856,811,686,125,45,386,351,280,71,35,827,820,553,267,7,747,709,522,187,38,2189,1951,1660,291,238,493,480,409,71,13,848,833,678,155,15,1800,1656,1411,245,144,1123,1074,861,213,49,1288,1238,1054,184,50,608,581,470,111,27,2314,2292,1954,338,22,2065,2007,1659,348,58,2382,2363,1969,394,19,1541,1531,1198,333,10,1315,1284,1024,260,31,1498,1491,1203,288,7,416,413,303,110,3,2159,2070,1741,329,89,375,368,312,56,7,1498,1393,1199,194,105,1075,949,757,192,126,2403,2326,1973,353,77,4157,4000,3496,504,157,517,499,432,67,18,1019,941,828,113,78,1327,1282,1087,195,45,1262,1161,968,193,101,980,868,696,172,112,1198,1093,861,232,105,826,747,584,163,79,1532,1476,1257,219,56,1725,1694,1385,309,31,930,897,712,185,33,1006,919,753,166,87,928,878,689,189,50,1540,1503,1237,266,37,1264,1161,939,222,103,2459,2372,2009,363,87,2111,2084,1746,338,27,1186,1160,1002,158,26,1418,1405,1250,155,13,1204,1165,956,209,39,718,704,536,168,14,1905,1865,1671,194,40,780,746,653,93,34,1037,1017,914,103,20,1623,1576,1316,260,47,1033,1024,872,152,9,1028,981,860,121,47,1219,1184,1023,161,35,1371,1346,1157,189,25,977,944,830,114,33,1510,1493,1218,275,17,2041,2029,1813,216,12,325,323,209,114,2,1294,1246,1047,199,48,550,531,454,77,19,1817,1791,1240,551,26,1594,1345,1159,186,249,720,685,585,100,35,534,506,419,87,28,478,476,393,83,2,546,523,437,86,23,765,726,604,122,39,1629,1597,1233,364,32,958,897,641,256,61,498,446,340,106,52,1514,1507,1276,231,7,957,948,794,154,9,1001,993,799,194,8
M9,1520,1215,1183,32,305,1350,1329,1262,67,21,1551,1477,1421,56,74,1346,1321,1289,32,25,1753,1622,1575,47,131,1732,1702,1641,61,30,1463,1361,1317,44,102,1227,1187,1120,67,40,672,644,604,40,28,1293,1239,1210,29,54,2516,2256,2192,64,260,2692,2476,2375,101,216,2110,2037,1946,91,73,842,815,790,25,27,2191,2075,2009,66,116,1780,1655,1602,53,125,1009,966,912,54,43,1851,1815,1775,40,36,1118,1078,1027,51,40,1260,1143,1116,27,117,987,977,949,28,10,1733,1718,1681,37,15,1260,1222,1175,47,38,1220,872,845,27,348,1584,1580,1454,126,4,1809,1764,1720,44,45,773,751,726,25,22,847,828,805,23,19,1471,1418,1373,45,53,1467,1453,1419,34,14,1044,1017,989,28,27,1091,1080,1055,25,11,1191,1153,1124,29,38,2804,2706,2600,106,98,1150,1119,1074,45,31,1238,877,861,16,361,1167,1124,1100,24,43,417,396,381,15,21,944,934,893,41,10,1025,975,944,31,50,2701,2504,2432,72,197,642,634,624,10,8,902,881,850,31,21,2369,2217,2164,53,152,1418,1374,1333,41,44,1655,1602,1560,42,53,819,781,757,24,38,2943,2929,2861,68,14,2500,2463,2408,55,37,3073,3052,2978,74,21,1872,1869,1791,78,3,1655,1622,1545,77,33,1811,1793,1766,27,18,398,392,374,18,6,2738,2662,2581,81,76,470,465,455,10,5,1915,1775,1746,29,140,1383,1248,1189,59,135,2942,2857,2785,72,85,5232,5017,4916,101,215,673,652,641,11,21,1263,1184,1160,24,79,1647,1595,1561,34,52,1601,1490,1443,47,111,1165,1057,1024,33,108,1534,1403,1347,56,131,1020,938,916,22,82,1855,1795,1738,57,60,2167,2143,2095,48,24,1008,973,959,14,35,1225,1156,1131,25,69,1206,1131,1087,44,75,1993,1927,1879,48,66,1658,1540,1520,20,118,2906,2793,2735,58,113,2771,2736,2670,66,35,1474,1451,1407,44,23,1600,1572,1542,30,28,1475,1433,1400,33,42,824,820,784,36,4,2338,2282,2239,43,56,852,815,785,30,37,1317,1292,1266,26,25,1862,1802,1756,46,60,1299,1291,1264,27,8,1267,1211,1159,52,56,1642,1590,1536,54,52,1450,1411,1375,36,39,1641,1611,1576,35,30,2009,1991,1933,58,18,2680,2651,2594,57,29,394,390,377,13,4,1682,1630,1587,43,52,580,568,554,14,12,1502,1467,1417,50,35,2237,1893,1865,28,344,911,860,808,52,51,726,705,680,25,21,588,584,575,9,4,726,719,689,30,7,879,854,830,24,25,1792,1762,1707,55,30,1025,973,936,37,52,711,659,640,19,52,1800,1792,1769,23,8,1451,1440,1422,18,11,1072,1061,1021,40,11
F2,1137,832,265,567,305,1035,1008,211,797,27,1321,1096,329,767,225,1018,973,222,751,45,1120,939,297,642,181,1426,1322,319,1003,104,1151,997,205,792,154,845,738,192,546,107,501,456,119,337,45,910,843,213,630,67,2042,1796,429,1367,246,1681,1453,263,1190,228,1608,1494,271,1223,114,655,611,150,461,44,1713,1566,303,1263,147,1575,1431,276,1155,144,827,764,151,613,63,1398,1324,201,1123,74,946,831,180,651,115,986,882,200,682,104,895,855,138,717,40,1301,1257,216,1041,44,966,895,218,677,71,982,684,195,489,298,1169,1152,236,916,17,1341,1251,249,1002,90,557,515,136,379,42,557,516,131,385,41,928,852,180,672,76,1098,1069,221,848,29,776,709,143,566,67,695,678,126,552,17,893,861,159,702,32,1922,1733,508,1225,189,968,915,181,734,53,1102,773,232,541,329,924,873,188,685,51,322,249,80,169,73,736,719,91,628,17,533,495,105,390,38,1966,1699,484,1215,267,484,451,121,330,33,745,708,164,544,37,1582,1418,345,1073,164,988,883,270,613,105,1150,1069,277,792,81,674,620,135,485,54,2029,1979,427,1552,50,1910,1768,373,1395,142,2368,2309,322,1987,59,1350,1334,178,1156,16,1254,1186,233,953,68,1255,1237,226,1011,18,410,403,46,357,7,2157,2009,493,1516,148,328,317,88,229,11,1712,1552,462,1090,160,1101,915,214,701,186,2211,2076,497,1579,135,4032,3851,885,2966,181,542,514,79,435,28,1033,933,270,663,100,910,860,119,741,50,1274,1094,235,859,180,924,761,229,532,163,1160,938,202,736,222,796,713,128,585,83,1390,1327,262,1065,63,1511,1436,261,1175,75,878,826,143,683,52,995,861,221,640,134,901,845,124,721,56,1420,1354,246,1108,66,1140,1057,150,907,83,2252,2127,437,1690,125,1845,1799,447,1352,46,1041,996,330,666,45,1284,1163,365,798,121,1371,1309,292,1017,62,674,646,120,526,28,1722,1563,678,885,159,918,820,249,571,98,1075,1029,285,744,46,1313,1227,342,885,86,1013,996,255,741,17,1073,964,380,584,109,1218,1134,363,771,84,1126,1091,341,750,35,993,895,298,597,98,1531,1465,356,1109,66,1457,1362,434,928,95,248,238,52,186,10,1168,1068,255,813,100,446,424,92,332,22,1336,1244,308,936,92,1749,1404,401,1003,345,698,627,178,449,71,449,408,82,326,41,434,419,124,295,15,464,439,120,319,25,743,700,141,559,43,1563,1498,315,1183,65,860,799,126,673,61,539,455,92,363,84,1383,1366,269,1097,17,806,785,153,632,21,1024,1010,184,826,14
F5,1045,822,701,121,223,1123,1112,808,304,11,1175,1107,936,171,68,1022,1001,834,167,21,1450,1322,1114,208,128,1352,1315,1106,209,37,1232,1133,905,228,99,935,875,696,179,60,581,548,429,119,33,1024,973,857,116,51,1918,1717,1432,285,201,2060,1873,1581,292,187,1552,1499,1155,344,53,703,678,558,120,25,1774,1664,1411,253,110,1407,1306,1037,269,101,828,792,630,162,36,1649,1613,1200,413,36,889,829,665,164,60,893,782,651,131,111,834,812,640,172,22,1393,1362,1144,218,31,926,889,690,199,37,967,706,632,74,261,1208,1202,995,207,6,1315,1269,1056,213,46,556,531,422,109,25,690,651,515,136,39,1128,1011,847,164,117,1128,1114,899,215,14,785,744,573,171,41,788,782,667,115,6,895,865,709,156,30,2069,1985,1683,302,84,947,926,770,156,21,1014,711,605,106,303,868,817,679,138,51,359,311,263,48,48,757,749,530,219,8,758,726,573,153,32,2107,1913,1575,338,194,520,513,420,93,7,879,855,728,127,24,2019,1873,1646,227,146,1021,966,786,180,55,1512,1459,1241,218,53,649,622,497,125,27,2127,2113,1786,327,14,1927,1885,1545,340,42,2207,2178,1814,364,29,1496,1489,1151,338,7,1284,1245,1007,238,39,1446,1436,1123,313,10,424,421,300,121,3,2059,1977,1674,303,82,337,335,285,50,2,1724,1609,1391,218,115,998,884,706,178,114,2277,2200,1846,354,77,3924,3774,3298,476,150,492,481,423,58,11,870,806,717,89,64,1291,1239,1037,202,52,1138,1060,932,128,78,925,814,693,121,111,1109,956,745,211,153,693,625,471,154,68,1434,1379,1150,229,55,1461,1430,1160,270,31,804,786,599,187,18,1163,1069,892,177,94,831,785,600,185,46,1562,1521,1263,258,41,1247,1171,969,202,76,2220,2137,1789,348,83,1987,1958,1680,278,29,1158,1133,990,143,25,1395,1375,1251,124,20,1240,1205,987,218,35,733,720,546,174,13,1733,1698,1525,173,35,787,754,634,120,33,956,939,824,115,17,1632,1584,1341,243,48,963,961,827,134,2,903,863,769,94,40,1113,1089,968,121,24,1227,1203,1050,153,24,1058,1006,879,127,52,1697,1665,1328,337,32,1981,1970,1789,181,11,321,316,215,101,5,1182,1120,948,172,62,482,463,405,58,19,1787,1752,1532,220,35,1563,1324,1159,165,239,738,712,600,112,26,538,505,415,90,33,475,474,408,66,1,544,520,423,97,24,718,693,547,146,25,1458,1431,1142,289,27,944,903,630,273,41,500,450,354,96,50,1411,1408,1201,207,3,1080,1069,882,187,11,956,952,734,218,4
F9,1395,1083,1066,17,312,1237,1218,1168,50,19,1531,1455,1405,50,76,1321,1308,1274,34,13,1716,1606,1571,35,110,1647,1619,1557,62,28,1391,1299,1256,43,92,1001,973,932,41,28,687,663,629,34,24,1304,1260,1225,35,44,2296,2060,1999,61,236,2621,2425,2333,92,196,1937,1868,1779,89,69,782,758,743,15,24,2047,1940,1872,68,107,1684,1562,1516,46,122,1001,945,905,40,56,1856,1813,1753,60,43,1035,985,945,40,50,1090,958,935,23,132,1063,1046,1016,30,17,1593,1569,1524,45,24,1215,1192,1147,45,23,1095,809,779,30,286,1455,1444,1355,89,11,1548,1502,1462,40,46,643,622,606,16,21,773,750,710,40,23,1340,1310,1269,41,30,1375,1363,1329,34,12,948,905,864,41,43,969,963,952,11,6,1097,1066,1032,34,31,2577,2483,2393,90,94,1049,1031,997,34,18,1253,929,912,17,324,1036,1006,975,31,30,394,379,358,21,15,843,838,793,45,5,958,916,882,34,42,2468,2306,2241,65,162,649,641,627,14,8,1005,983,947,36,22,2564,2408,2352,56,156,1295,1244,1208,36,51,1824,1770,1721,49,54,833,797,762,35,36,2679,2664,2609,55,15,2317,2280,2219,61,37,3087,3064,2997,67,23,1827,1820,1758,62,7,1477,1442,1379,63,35,1850,1831,1797,34,19,432,429,413,16,3,2658,2565,2476,89,93,460,456,446,10,4,2021,1886,1841,45,135,1251,1142,1096,46,109,2973,2884,2804,80,89,5078,4892,4818,74,186,604,584,570,14,20,1206,1119,1093,26,87,1639,1577,1557,20,62,1452,1352,1319,33,100,1123,1021,983,38,102,1431,1278,1216,62,153,884,810,776,34,74,1712,1659,1611,48,53,1859,1828,1789,39,31,1005,978,953,25,27,1292,1215,1187,28,77,1158,1101,1056,45,57,1911,1868,1820,48,43,1525,1449,1417,32,76,2811,2710,2656,54,101,2543,2519,2458,61,24,1514,1481,1443,38,33,1430,1396,1374,22,34,1497,1451,1416,35,46,860,849,813,36,11,2008,1956,1927,29,52,878,836,817,19,42,1148,1133,1100,33,15,1862,1819,1769,50,43,1343,1335,1312,23,8,1186,1130,1081,49,56,1608,1552,1513,39,56,1305,1277,1248,29,28,2670,2632,2596,36,38,2431,2399,2357,42,32,1981,1955,1915,40,26,332,324,307,17,8,1485,1427,1392,35,58,522,515,504,11,7,1674,1638,1587,51,36,1951,1671,1620,51,280,989,920,872,48,69,675,654,641,13,21,541,537,526,11,4,731,720,700,20,11,851,827,805,22,24,1594,1564,1502,62,30,1100,1032,980,52,68,697,635,612,23,62,1705,1692,1651,41,13,1472,1458,1430,28,14,1031,1023,994,29,8
